,Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10,Time (s) Run #11,Position (m) Run #11
88,1.7,0.0,1.7,0.0,1.7,0.0,1.7,0.0,1.7,0.0,1.7,0.0,1.7,0.0,1.7,0.0,1.7,0.0,1.7,0.13,1.7,0.0
89,1.72,0.0,0.0,0.0,1.72,0.0,1.72,0.0,1.72,0.0,1.72,0.0,1.72,0.0,1.72,0.0,1.72,0.0,1.72,0.0,1.72,0.0
90,1.74,0.0,0.0,0.0,1.74,0.0,1.74,0.0,1.74,0.0,1.74,0.0,1.74,0.0,1.74,0.0,0.0,0.0,1.74,0.0,1.74,0.0
91,1.76,0.0,0.0,0.0,1.76,0.0,1.76,0.0,1.76,0.0,1.76,0.0,1.76,0.0,1.76,0.0,0.0,0.0,1.76,0.0,1.76,0.0
92,1.78,0.0,0.0,0.0,0.0,0.0,1.78,0.0,1.78,0.0,1.78,0.0,1.78,0.0,1.78,0.0,0.0,0.0,1.78,0.0,1.78,0.0
93,1.8,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.8,0.0,1.8,0.0,1.8,0.0,1.8,0.0,0.0,0.0,1.8,0.0,1.8,0.0
94,1.8199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8199999999999998,0.0,1.8199999999999998,0.0,1.8199999999999998,0.0,0.0,0.0,1.8199999999999998,0.0,1.8199999999999998,0.0
95,1.8399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8399999999999999,0.0,1.8399999999999999,0.0,1.8399999999999999,0.0,0.0,0.0,1.8399999999999999,0.0,1.8399999999999999,0.0
96,1.8599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8599999999999999,0.0,1.8599999999999999,0.0,1.8599999999999999,0.0,0.0,0.0,1.8599999999999999,0.0,1.8599999999999999,0.0
97,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,1.88,0.0,1.88,0.0,0.0,0.0,1.88,0.0,1.88,0.0
98,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.9,0.0,1.9,0.0,0.0,0.0,0.0,0.0,1.9,0.0
99,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,1.92,0.0
100,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,1.94,0.0
101,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,1.96,0.0
102,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0
103,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
104,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0
105,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0
106,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.0
107,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0
108,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1999999999999997,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2199999999999998,0.0
